id,description,location_name,latitude,longitude,created_at,user_id,Repeated_Reports,Severity_Score,Location_Weight,Priority_Score
664,traffic lights are broken,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310656,78.423447,2025-04-18 15:40:17.322668+00:00,10,4,2,1.0,2.5
660,Illegal Garbage Dumping,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310656,78.423447,2025-04-18 15:26:02.633608+00:00,1,4,2,1.0,2.5
662,Street Flooding,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310656,78.423447,2025-04-18 15:29:06.921339+00:00,1,4,2,1.0,2.5
661,Broken Streetlights,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310656,78.423447,2025-04-18 15:27:08.242253+00:00,1,4,2,1.0,2.5
643,Broken Streetlights,"Royal Stairs, Bada Bazaar, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Golconda mandal, Hyderabad, Telangana, 500048, India",17.3768704,78.4007168,2025-04-06 17:56:35.493453+00:00,1,2,2,1.0,1.9
644,There is a severe drainage overflow causing flooding.,"Sector 9, Road A",28.61,77.23,2025-04-06 18:08:17.321979+00:00,1,2,2,1.0,1.9
646,Huge fire outbreak near residential area. Urgent help needed!,"Block A, Central Zone",28.61,77.23,2025-04-06 18:21:05.227433+00:00,1,2,2,1.0,1.9
648,"Massive fire spreading rapidly in residential buildings, urgent help needed!","Royal Stairs, Bada Bazaar, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Golconda mandal, Hyderabad, Telangana, 500048, India",17.3768704,78.4007168,2025-04-06 18:31:26.118421+00:00,11,2,2,1.0,1.9
563,Large pothole causing accidents near school zone,"Main Road, Sector 15",28.6139,77.209,2025-03-23 16:57:13.173848+00:00,3,1,2,1.5,1.65
579,Defective pedestrian crossing signals,School Road,28.6184,77.2056,2025-03-31 16:57:13.192895+00:00,3,1,2,1.5,1.65
566,Broken traffic signal causing traffic congestion,Junction near Mall,28.6206,77.2322,2025-03-21 16:57:13.183364+00:00,3,1,2,1.5,1.65
597,Illegal parking blocking emergency vehicle access,Hospital Road,28.6129,77.1986,2025-03-30 16:57:13.210328+00:00,3,1,2,1.5,1.65
565,"Garbage overflowing for 3 days, foul smell in the area",Market Street,28.6353,77.225,2025-04-02 16:57:13.183364+00:00,3,1,2,1.5,1.65
671,Stray Animals,"Hasan Nagar, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Golconda mandal, Hyderabad, Telangana, 500048, India",17.372306307185017,78.42186927795412,2025-04-19 06:15:04.900423+00:00,1,1,2,1.0,1.6
668,potholes on the road increasing the accidents,"Telangana NGOs Colony, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310667333582806,78.44218969345094,2025-04-18 19:10:59.319917+00:00,3,1,2,1.0,1.6
666,Illegal Garbage Dumping,"Katedan Industrial Area, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.31307388212045,78.43264102935792,2025-04-18 15:54:30.291046+00:00,14,1,2,1.0,1.6
571,Sewage water overflowing onto main road,XYZ Nagar,28.5901,77.1804,2025-03-12 16:57:13.186427+00:00,3,1,2,1.0,1.6
651,There’s a severe gas leakage close to Central Park Apartments. The odor is overwhelming and it poses a serious explosion hazard. Authorities must act fast,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.310589580470293,78.4238160745008,2025-04-06 18:40:45.646101+00:00,4,1,2,1.0,1.6
562,Illegal parking blocking emergency vehicle access,"Netaji Nagar, Ward 59 Mailardevpally, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500077, India",17.31059584316929,78.42350715683072,2025-04-06 16:49:41.040713+00:00,1,1,2,1.0,1.6
